month,ethnicity,indicator,value
2025-04,Pacific Peoples,Readmission Rate (%),9.8
2025-04,Asian,Readmission Rate (%),8.5
2025-04,Other,Readmission Rate (%),8.5
2025-04,NZ European,Did Not Attend Rate (%),4.3
2025-04,Māori,Did Not Attend Rate (%),14.7
2025-04,Pacific Peoples,Did Not Attend Rate (%),12.3
2025-04,Asian,Did Not Attend Rate (%),6.0
2025-04,Other,Did Not Attend Rate (%),6.1
2025-04,NZ European,Patient Experience Score (%),81.9
2025-04,Māori,Patient Experience Score (%),70.9
2025-04,Pacific Peoples,Patient Experience Score (%),76.2
2025-04,Asian,Patient Experience Score (%),79.9
2025-04,Other,Patient Experience Score (%),81.9
2025-05,NZ European,ED Wait Time (median mins),121.8
2025-05,Māori,ED Wait Time (median mins),145.3
2025-05,Pacific Peoples,ED Wait Time (median mins),131.5
2025-05,Asian,ED Wait Time (median mins),116.8
2025-05,Other,ED Wait Time (median mins),109.1
2025-05,NZ European,Readmission Rate (%),8.0
2025-05,Māori,Readmission Rate (%),11.3
2025-05,Pacific Peoples,Readmission Rate (%),10.8
2025-05,Asian,Readmission Rate (%),8.6
2025-05,Other,Readmission Rate (%),8.3
2025-05,NZ European,Did Not Attend Rate (%),4.9
2025-05,Māori,Did Not Attend Rate (%),12.4
2025-05,Pacific Peoples,Did Not Attend Rate (%),10.0
2025-05,Asian,Did Not Attend Rate (%),6.2
2025-05,Other,Did Not Attend Rate (%),6.9
2025-05,NZ European,Patient Experience Score (%),87.0
2025-05,Māori,Patient Experience Score (%),75.6
2025-05,Pacific Peoples,Patient Experience Score (%),77.0
2025-05,Asian,Patient Experience Score (%),80.5
2025-05,Other,Patient Experience Score (%),78.9
2025-06,NZ European,ED Wait Time (median mins),114.6
2025-06,Māori,ED Wait Time (median mins),145.5
2025-06,Pacific Peoples,ED Wait Time (median mins),126.7
2025-06,Asian,ED Wait Time (median mins),122.5
2025-06,Other,ED Wait Time (median mins),118.2
2025-06,NZ European,Readmission Rate (%),8.2
2025-06,Māori,Readmission Rate (%),10.9
2025-06,Pacific Peoples,Readmission Rate (%),10.9
2025-06,Asian,Readmission Rate (%),8.6
2025-06,Other,Readmission Rate (%),8.1
2025-06,NZ European,Did Not Attend Rate (%),4.6
2025-06,Māori,Did Not Attend Rate (%),11.8
2025-06,Pacific Peoples,Did Not Attend Rate (%),11.0
2025-06,Asian,Did Not Attend Rate (%),5.7
2025-06,Other,Did Not Attend Rate (%),6.2
2025-06,NZ European,Patient Experience Score (%),85.9
2025-06,Māori,Patient Experience Score (%),74.3
2025-06,Pacific Peoples,Patient Experience Score (%),75.0
2025-06,Asian,Patient Experience Score (%),81.0
2025-06,Other,Patient Experience Score (%),83.1
2025-07,NZ European,ED Wait Time (median mins),113.4
2025-07,Māori,ED Wait Time (median mins),138.3
2025-07,Pacific Peoples,ED Wait Time (median mins),144.2
2025-07,Asian,ED Wait Time (median mins),126.3
2025-07,Other,ED Wait Time (median mins),110.0
2025-07,NZ European,Readmission Rate (%),8.7
2025-07,Māori,Readmission Rate (%),10.4
2025-07,Pacific Peoples,Readmission Rate (%),9.4
2025-07,Asian,Readmission Rate (%),8.2
2025-07,Other,Readmission Rate (%),8.8
2025-07,NZ European,Did Not Attend Rate (%),4.7
2025-07,Māori,Did Not Attend Rate (%),13.0
2025-07,Pacific Peoples,Did Not Attend Rate (%),12.0
2025-07,Asian,Did Not Attend Rate (%),6.8
2025-07,Other,Did Not Attend Rate (%),6.6
2025-07,NZ European,Patient Experience Score (%),82.4
2025-07,Māori,Patient Experience Score (%),72.8
2025-07,Pacific Peoples,Patient Experience Score (%),75.2
2025-07,Asian,Patient Experience Score (%),82.1
2025-07,Other,Patient Experience Score (%),80.4
2025-08,NZ European,ED Wait Time (median mins),124.6
2025-08,Māori,ED Wait Time (median mins),148.5
2025-08,Pacific Peoples,ED Wait Time (median mins),142.7
2025-08,Asian,ED Wait Time (median mins),131.2
2025-08,Other,ED Wait Time (median mins),126.4
2025-08,NZ European,Readmission Rate (%),8.1
2025-08,Māori,Readmission Rate (%),11.8
2025-08,Pacific Peoples,Readmission Rate (%),9.2
2025-08,Asian,Readmission Rate (%),8.3
2025-08,Other,Readmission Rate (%),8.1
2025-08,NZ European,Did Not Attend Rate (%),4.6
2025-08,Māori,Did Not Attend Rate (%),11.8
2025-08,Pacific Peoples,Did Not Attend Rate (%),10.6
2025-08,Asian,Did Not Attend Rate (%),6.0
2025-08,Other,Did Not Attend Rate (%),6.8
2025-08,NZ European,Patient Experience Score (%),81.6
2025-08,Māori,Patient Experience Score (%),79.6
2025-08,Pacific Peoples,Patient Experience Score (%),74.2
2025-08,Asian,Patient Experience Score (%),76.0
2025-08,Other,Patient Experience Score (%),81.1
2025-09,NZ European,ED Wait Time (median mins),118.6
2025-09,Māori,ED Wait Time (median mins),156.7
2025-09,Pacific Peoples,ED Wait Time (median mins),127.3
2025-09,Asian,ED Wait Time (median mins),124.6
2025-09,Other,ED Wait Time (median mins),126.4
2025-09,NZ European,Readmission Rate (%),7.6
2025-09,Māori,Readmission Rate (%),9.8
2025-09,Pacific Peoples,Readmission Rate (%),10.7
2025-09,Asian,Readmission Rate (%),7.8
2025-09,Other,Readmission Rate (%),8.8
2025-09,NZ European,Did Not Attend Rate (%),4.1
2025-09,Māori,Did Not Attend Rate (%),12.7
2025-09,Pacific Peoples,Did Not Attend Rate (%),10.9
2025-09,Asian,Did Not Attend Rate (%),6.0
2025-09,Other,Did Not Attend Rate (%),6.0
2025-09,NZ European,Patient Experience Score (%),83.9
2025-09,Māori,Patient Experience Score (%),68.9
2025-09,Pacific Peoples,Patient Experience Score (%),72.9
2025-09,Asian,Patient Experience Score (%),82.7
2025-09,Other,Patient Experience Score (%),79.2
2025-10,NZ European,ED Wait Time (median mins),123.6
2025-10,Māori,ED Wait Time (median mins),148.3
2025-10,Pacific Peoples,ED Wait Time (median mins),135.9
2025-10,Asian,ED Wait Time (median mins),125.1
2025-10,Other,ED Wait Time (median mins),114.2
2025-10,NZ European,Readmission Rate (%),7.9
2025-10,Māori,Readmission Rate (%),10.3
2025-10,Pacific Peoples,Readmission Rate (%),11.1
2025-10,Asian,Readmission Rate (%),7.8
2025-10,Other,Readmission Rate (%),8.6
2025-10,NZ European,Did Not Attend Rate (%),4.3
2025-10,Māori,Did Not Attend Rate (%),13.4
2025-10,Pacific Peoples,Did Not Attend Rate (%),9.5
2025-10,Asian,Did Not Attend Rate (%),5.8
2025-10,Other,Did Not Attend Rate (%),6.5
2025-10,NZ European,Patient Experience Score (%),83.2
2025-10,Māori,Patient Experience Score (%),74.7
2025-10,Pacific Peoples,Patient Experience Score (%),73.8
2025-10,Asian,Patient Experience Score (%),77.8
2025-10,Other,Patient Experience Score (%),79.6
2025-11,NZ European,ED Wait Time (median mins),124.0
2025-11,Māori,ED Wait Time (median mins),153.4
2025-11,Pacific Peoples,ED Wait Time (median mins),125.3
2025-11,Asian,ED Wait Time (median mins),122.3
2025-11,Other,ED Wait Time (median mins),117.3
2025-11,NZ European,Readmission Rate (%),7.5
2025-11,Māori,Readmission Rate (%),10.7
2025-11,Pacific Peoples,Readmission Rate (%),9.8
2025-11,Asian,Readmission Rate (%),7.6
2025-11,Other,Readmission Rate (%),7.8
2025-11,NZ European,Did Not Attend Rate (%),4.4
2025-11,Māori,Did Not Attend Rate (%),12.0
2025-11,Pacific Peoples,Did Not Attend Rate (%),9.9
2025-11,Asian,Did Not Attend Rate (%),6.1
2025-11,Other,Did Not Attend Rate (%),6.4
2025-11,NZ European,Patient Experience Score (%),86.5
2025-11,Māori,Patient Experience Score (%),73.5
2025-11,Pacific Peoples,Patient Experience Score (%),80.7
2025-11,Asian,Patient Experience Score (%),78.3
2025-11,Other,Patient Experience Score (%),82.5
2025-12,NZ European,ED Wait Time (median mins),114.3
2025-12,Māori,ED Wait Time (median mins),138.5
2025-12,Pacific Peoples,ED Wait Time (median mins),150.1
2025-12,Asian,ED Wait Time (median mins),120.0
2025-12,Other,ED Wait Time (median mins),120.0
2025-12,NZ European,Readmission Rate (%),7.5
2025-12,Māori,Readmission Rate (%),11.1
2025-12,Pacific Peoples,Readmission Rate (%),9.1
2025-12,Asian,Readmission Rate (%),8.7
2025-12,Other,Readmission Rate (%),8.4
2025-12,NZ European,Did Not Attend Rate (%),4.3
2025-12,Māori,Did Not Attend Rate (%),12.7
2025-12,Pacific Peoples,Did Not Attend Rate (%),11.0
2025-12,Asian,Did Not Attend Rate (%),5.7
2025-12,Other,Did Not Attend Rate (%),6.1
2025-12,NZ European,Patient Experience Score (%),84.0
2025-12,Māori,Patient Experience Score (%),73.6
2025-12,Pacific Peoples,Patient Experience Score (%),80.1
2025-12,Asian,Patient Experience Score (%),80.8
2025-12,Other,Patient Experience Score (%),80.5
