month,facility,indicator,value,target
2023-12,Community Services West,HAI Rate per 1000 Bed Days,2.67,1.5
2023-12,Community Services West,Complaint Resolution within 20 Days (%),65.84,80.0
2023-12,Community Services West,Adverse Event Closure within 30 Days (%),68.96,75.0
2024-01,North Shore Hospital,Hand Hygiene Compliance (%),85.33,80.0
2024-01,North Shore Hospital,Falls per 1000 Bed Days,4.37,5.0
2024-01,North Shore Hospital,Medication Errors per 1000 Admissions,1.79,2.5
2024-01,North Shore Hospital,Pressure Injuries per 1000 Bed Days,2.1,1.5
2024-01,North Shore Hospital,Patient Experience Score (%),80.22,85.0
2024-01,North Shore Hospital,HAI Rate per 1000 Bed Days,2.18,1.5
2024-01,North Shore Hospital,Complaint Resolution within 20 Days (%),63.43,80.0
2024-01,North Shore Hospital,Adverse Event Closure within 30 Days (%),57.42,75.0
2024-01,Waitakere Hospital,Hand Hygiene Compliance (%),83.69,80.0
2024-01,Waitakere Hospital,Falls per 1000 Bed Days,5.66,5.0
2024-01,Waitakere Hospital,Medication Errors per 1000 Admissions,3.51,2.5
2024-01,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,1.09,1.5
2024-01,Waitakere Hospital,Patient Experience Score (%),80.68,85.0
2024-01,Waitakere Hospital,HAI Rate per 1000 Bed Days,2.24,1.5
2024-01,Waitakere Hospital,Complaint Resolution within 20 Days (%),77.92,80.0
2024-01,Waitakere Hospital,Adverse Event Closure within 30 Days (%),61.31,75.0
2024-01,Community Services North,Hand Hygiene Compliance (%),85.28,80.0
2024-01,Community Services North,Falls per 1000 Bed Days,5.01,5.0
2024-01,Community Services North,Medication Errors per 1000 Admissions,2.91,2.5
2024-01,Community Services North,Pressure Injuries per 1000 Bed Days,0.88,1.5
2024-01,Community Services North,Patient Experience Score (%),85.93,85.0
2024-01,Community Services North,HAI Rate per 1000 Bed Days,0.86,1.5
2024-01,Community Services North,Complaint Resolution within 20 Days (%),68.76,80.0
2024-01,Community Services North,Adverse Event Closure within 30 Days (%),60.35,75.0
2024-01,Community Services West,Hand Hygiene Compliance (%),76.56,80.0
2024-01,Community Services West,Falls per 1000 Bed Days,3.78,5.0
2024-01,Community Services West,Medication Errors per 1000 Admissions,3.42,2.5
2024-01,Community Services West,Pressure Injuries per 1000 Bed Days,0.31,1.5
2024-01,Community Services West,Patient Experience Score (%),74.49,85.0
2024-01,Community Services West,HAI Rate per 1000 Bed Days,3.83,1.5
2024-01,Community Services West,Complaint Resolution within 20 Days (%),63.25,80.0
2024-01,Community Services West,Adverse Event Closure within 30 Days (%),62.15,75.0
2024-02,North Shore Hospital,Hand Hygiene Compliance (%),83.54,80.0
2024-02,North Shore Hospital,Falls per 1000 Bed Days,4.29,5.0
2024-02,North Shore Hospital,Medication Errors per 1000 Admissions,2.91,2.5
2024-02,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.53,1.5
2024-02,North Shore Hospital,Patient Experience Score (%),76.21,85.0
2024-02,North Shore Hospital,HAI Rate per 1000 Bed Days,2.1,1.5
2024-02,North Shore Hospital,Complaint Resolution within 20 Days (%),67.59,80.0
2024-02,North Shore Hospital,Adverse Event Closure within 30 Days (%),59.49,75.0
2024-02,Waitakere Hospital,Hand Hygiene Compliance (%),87.05,80.0
2024-02,Waitakere Hospital,Falls per 1000 Bed Days,5.2,5.0
2024-02,Waitakere Hospital,Medication Errors per 1000 Admissions,3.55,2.5
2024-02,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,2.19,1.5
2024-02,Waitakere Hospital,Patient Experience Score (%),80.4,85.0
2024-02,Waitakere Hospital,HAI Rate per 1000 Bed Days,1.94,1.5
2024-02,Waitakere Hospital,Complaint Resolution within 20 Days (%),68.46,80.0
2024-02,Waitakere Hospital,Adverse Event Closure within 30 Days (%),63.96,75.0
2024-02,Community Services North,Hand Hygiene Compliance (%),82.81,80.0
2024-02,Community Services North,Falls per 1000 Bed Days,3.09,5.0
2024-02,Community Services North,Medication Errors per 1000 Admissions,3.56,2.5
2024-02,Community Services North,Pressure Injuries per 1000 Bed Days,2.58,1.5
2024-02,Community Services North,Patient Experience Score (%),75.96,85.0
2024-02,Community Services North,HAI Rate per 1000 Bed Days,0.72,1.5
2024-02,Community Services North,Complaint Resolution within 20 Days (%),62.17,80.0
2024-02,Community Services North,Adverse Event Closure within 30 Days (%),64.3,75.0
2024-02,Community Services West,Hand Hygiene Compliance (%),79.72,80.0
2024-02,Community Services West,Falls per 1000 Bed Days,7.74,5.0
2024-02,Community Services West,Medication Errors per 1000 Admissions,4.73,2.5
2024-02,Community Services West,Pressure Injuries per 1000 Bed Days,0.13,1.5
2024-02,Community Services West,Patient Experience Score (%),76.3,85.0
2024-02,Community Services West,HAI Rate per 1000 Bed Days,0.87,1.5
2024-02,Community Services West,Complaint Resolution within 20 Days (%),58.26,80.0
2024-02,Community Services West,Adverse Event Closure within 30 Days (%),65.35,75.0
2024-03,North Shore Hospital,Hand Hygiene Compliance (%),85.03,80.0
2024-03,North Shore Hospital,Falls per 1000 Bed Days,4.69,5.0
2024-03,North Shore Hospital,Medication Errors per 1000 Admissions,2.63,2.5
2024-03,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.1,1.5
2024-03,North Shore Hospital,Patient Experience Score (%),82.48,85.0
2024-03,North Shore Hospital,HAI Rate per 1000 Bed Days,1.83,1.5
2024-03,North Shore Hospital,Complaint Resolution within 20 Days (%),65.34,80.0
2024-03,North Shore Hospital,Adverse Event Closure within 30 Days (%),68.8,75.0
2024-03,Waitakere Hospital,Hand Hygiene Compliance (%),91.3,80.0
2024-03,Waitakere Hospital,Falls per 1000 Bed Days,5.25,5.0
2024-03,Waitakere Hospital,Medication Errors per 1000 Admissions,3.03,2.5
2024-03,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,1.0,1.5
2024-03,Waitakere Hospital,Patient Experience Score (%),84.43,85.0
2024-03,Waitakere Hospital,HAI Rate per 1000 Bed Days,1.96,1.5
2024-03,Waitakere Hospital,Complaint Resolution within 20 Days (%),72.48,80.0
2024-03,Waitakere Hospital,Adverse Event Closure within 30 Days (%),65.66,75.0
2024-03,Community Services North,Hand Hygiene Compliance (%),86.49,80.0
2024-03,Community Services North,Falls per 1000 Bed Days,5.98,5.0
2024-03,Community Services North,Medication Errors per 1000 Admissions,4.17,2.5
2024-03,Community Services North,Pressure Injuries per 1000 Bed Days,1.02,1.5
2024-03,Community Services North,Patient Experience Score (%),83.86,85.0
2024-03,Community Services North,HAI Rate per 1000 Bed Days,3.19,1.5
2024-03,Community Services North,Complaint Resolution within 20 Days (%),69.29,80.0
2024-03,Community Services North,Adverse Event Closure within 30 Days (%),65.98,75.0
2024-03,Community Services West,Hand Hygiene Compliance (%),79.93,80.0
2024-03,Community Services West,Falls per 1000 Bed Days,6.53,5.0
2024-03,Community Services West,Medication Errors per 1000 Admissions,5.0,2.5
2024-03,Community Services West,Pressure Injuries per 1000 Bed Days,0.0,1.5
2024-03,Community Services West,Patient Experience Score (%),81.77,85.0
2024-03,Community Services West,HAI Rate per 1000 Bed Days,1.0,1.5
2024-03,Community Services West,Complaint Resolution within 20 Days (%),66.93,80.0
2024-03,Community Services West,Adverse Event Closure within 30 Days (%),55.25,75.0
2024-04,North Shore Hospital,Hand Hygiene Compliance (%),87.33,80.0
2024-04,North Shore Hospital,Falls per 1000 Bed Days,4.77,5.0
2024-04,North Shore Hospital,Medication Errors per 1000 Admissions,2.66,2.5
2024-04,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.76,1.5
2024-04,North Shore Hospital,Patient Experience Score (%),76.95,85.0
2024-04,North Shore Hospital,HAI Rate per 1000 Bed Days,2.16,1.5
2024-04,North Shore Hospital,Complaint Resolution within 20 Days (%),71.6,80.0
2024-04,North Shore Hospital,Adverse Event Closure within 30 Days (%),68.64,75.0
2024-04,Waitakere Hospital,Hand Hygiene Compliance (%),82.88,80.0
2024-04,Waitakere Hospital,Falls per 1000 Bed Days,5.66,5.0
2024-04,Waitakere Hospital,Medication Errors per 1000 Admissions,3.39,2.5
2024-04,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,1.19,1.5
2024-04,Waitakere Hospital,Patient Experience Score (%),76.1,85.0
2024-04,Waitakere Hospital,HAI Rate per 1000 Bed Days,1.82,1.5
2024-04,Waitakere Hospital,Complaint Resolution within 20 Days (%),73.01,80.0
2024-04,Waitakere Hospital,Adverse Event Closure within 30 Days (%),61.02,75.0
2024-04,Community Services North,Hand Hygiene Compliance (%),84.88,80.0
2024-04,Community Services North,Falls per 1000 Bed Days,4.93,5.0
2024-04,Community Services North,Medication Errors per 1000 Admissions,2.37,2.5
2024-04,Community Services North,Pressure Injuries per 1000 Bed Days,2.6,1.5
2024-04,Community Services North,Patient Experience Score (%),79.59,85.0
2024-04,Community Services North,HAI Rate per 1000 Bed Days,1.81,1.5
2024-04,Community Services North,Complaint Resolution within 20 Days (%),74.56,80.0
2024-04,Community Services North,Adverse Event Closure within 30 Days (%),60.27,75.0
2024-04,Community Services West,Hand Hygiene Compliance (%),89.44,80.0
2024-04,Community Services West,Falls per 1000 Bed Days,8.54,5.0
2024-04,Community Services West,Medication Errors per 1000 Admissions,1.42,2.5
2024-04,Community Services West,Pressure Injuries per 1000 Bed Days,0.16,1.5
2024-04,Community Services West,Patient Experience Score (%),83.66,85.0
2024-04,Community Services West,HAI Rate per 1000 Bed Days,4.04,1.5
2024-04,Community Services West,Complaint Resolution within 20 Days (%),62.63,80.0
2024-04,Community Services West,Adverse Event Closure within 30 Days (%),64.2,75.0
2024-05,North Shore Hospital,Hand Hygiene Compliance (%),89.35,80.0
2024-05,North Shore Hospital,Falls per 1000 Bed Days,4.98,5.0
2024-05,North Shore Hospital,Medication Errors per 1000 Admissions,2.37,2.5
2024-05,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.38,1.5
2024-05,North Shore Hospital,Patient Experience Score (%),76.43,85.0
2024-05,North Shore Hospital,HAI Rate per 1000 Bed Days,1.81,1.5
2024-05,North Shore Hospital,Complaint Resolution within 20 Days (%),68.19,80.0
2024-05,North Shore Hospital,Adverse Event Closure within 30 Days (%),69.47,75.0
2024-05,Waitakere Hospital,Hand Hygiene Compliance (%),89.09,80.0
2024-05,Waitakere Hospital,Falls per 1000 Bed Days,5.47,5.0
2024-05,Waitakere Hospital,Medication Errors per 1000 Admissions,3.43,2.5
2024-05,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,1.24,1.5
2024-05,Waitakere Hospital,Patient Experience Score (%),74.76,85.0
2024-05,Waitakere Hospital,HAI Rate per 1000 Bed Days,1.41,1.5
2024-05,Waitakere Hospital,Complaint Resolution within 20 Days (%),82.17,80.0
2024-05,Waitakere Hospital,Adverse Event Closure within 30 Days (%),67.61,75.0
2024-05,Community Services North,Hand Hygiene Compliance (%),86.72,80.0
2024-05,Community Services North,Falls per 1000 Bed Days,5.42,5.0
2024-05,Community Services North,Medication Errors per 1000 Admissions,1.9,2.5
2024-05,Community Services North,Pressure Injuries per 1000 Bed Days,2.68,1.5
2024-05,Community Services North,Patient Experience Score (%),78.39,85.0
2024-05,Community Services North,HAI Rate per 1000 Bed Days,2.65,1.5
2024-05,Community Services North,Complaint Resolution within 20 Days (%),71.68,80.0
2024-05,Community Services North,Adverse Event Closure within 30 Days (%),64.39,75.0
2024-05,Community Services West,Hand Hygiene Compliance (%),88.15,80.0
2024-05,Community Services West,Falls per 1000 Bed Days,2.77,5.0
2024-05,Community Services West,Medication Errors per 1000 Admissions,2.59,2.5
2024-05,Community Services West,Pressure Injuries per 1000 Bed Days,2.99,1.5
2024-05,Community Services West,Patient Experience Score (%),79.03,85.0
2024-05,Community Services West,HAI Rate per 1000 Bed Days,3.43,1.5
2024-05,Community Services West,Complaint Resolution within 20 Days (%),73.72,80.0
2024-05,Community Services West,Adverse Event Closure within 30 Days (%),59.78,75.0
2024-06,North Shore Hospital,Hand Hygiene Compliance (%),88.03,80.0
2024-06,North Shore Hospital,Falls per 1000 Bed Days,5.39,5.0
2024-06,North Shore Hospital,Medication Errors per 1000 Admissions,2.97,2.5
2024-06,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.93,1.5
2024-06,North Shore Hospital,Patient Experience Score (%),78.68,85.0
2024-06,North Shore Hospital,HAI Rate per 1000 Bed Days,2.05,1.5
2024-06,North Shore Hospital,Complaint Resolution within 20 Days (%),66.79,80.0
2024-06,North Shore Hospital,Adverse Event Closure within 30 Days (%),61.34,75.0
2024-06,Waitakere Hospital,Hand Hygiene Compliance (%),85.27,80.0
2024-06,Waitakere Hospital,Falls per 1000 Bed Days,5.62,5.0
2024-06,Waitakere Hospital,Medication Errors per 1000 Admissions,3.07,2.5
2024-06,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,2.04,1.5
2024-06,Waitakere Hospital,Patient Experience Score (%),75.5,85.0
2024-06,Waitakere Hospital,HAI Rate per 1000 Bed Days,2.64,1.5
2024-06,Waitakere Hospital,Complaint Resolution within 20 Days (%),69.45,80.0
2024-06,Waitakere Hospital,Adverse Event Closure within 30 Days (%),66.23,75.0
2024-06,Community Services North,Hand Hygiene Compliance (%),83.21,80.0
2024-06,Community Services North,Falls per 1000 Bed Days,5.89,5.0
2024-06,Community Services North,Medication Errors per 1000 Admissions,3.49,2.5
2024-06,Community Services North,Pressure Injuries per 1000 Bed Days,1.27,1.5
2024-06,Community Services North,Patient Experience Score (%),77.95,85.0
2024-06,Community Services North,HAI Rate per 1000 Bed Days,3.03,1.5
2024-06,Community Services North,Complaint Resolution within 20 Days (%),77.86,80.0
2024-06,Community Services North,Adverse Event Closure within 30 Days (%),63.84,75.0
2024-06,Community Services West,Hand Hygiene Compliance (%),83.56,80.0
2024-06,Community Services West,Falls per 1000 Bed Days,3.32,5.0
2024-06,Community Services West,Medication Errors per 1000 Admissions,2.65,2.5
2024-06,Community Services West,Pressure Injuries per 1000 Bed Days,0.0,1.5
2024-06,Community Services West,Patient Experience Score (%),78.66,85.0
2024-06,Community Services West,HAI Rate per 1000 Bed Days,0.84,1.5
2024-06,Community Services West,Complaint Resolution within 20 Days (%),72.72,80.0
2024-06,Community Services West,Adverse Event Closure within 30 Days (%),55.57,75.0
2024-07,North Shore Hospital,Hand Hygiene Compliance (%),85.14,80.0
2024-07,North Shore Hospital,Falls per 1000 Bed Days,4.83,5.0
2024-07,North Shore Hospital,Medication Errors per 1000 Admissions,3.31,2.5
2024-07,North Shore Hospital,Pressure Injuries per 1000 Bed Days,2.11,1.5
2024-07,North Shore Hospital,Patient Experience Score (%),75.14,85.0
2024-07,North Shore Hospital,HAI Rate per 1000 Bed Days,1.77,1.5
2024-07,North Shore Hospital,Complaint Resolution within 20 Days (%),61.14,80.0
2024-07,North Shore Hospital,Adverse Event Closure within 30 Days (%),59.31,75.0
2024-07,Waitakere Hospital,Hand Hygiene Compliance (%),88.97,80.0
2024-07,Waitakere Hospital,Falls per 1000 Bed Days,6.0,5.0
2024-07,Waitakere Hospital,Medication Errors per 1000 Admissions,2.95,2.5
2024-07,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,2.35,1.5
2024-07,Waitakere Hospital,Patient Experience Score (%),81.08,85.0
2024-07,Waitakere Hospital,HAI Rate per 1000 Bed Days,1.25,1.5
2024-07,Waitakere Hospital,Complaint Resolution within 20 Days (%),72.83,80.0
2024-07,Waitakere Hospital,Adverse Event Closure within 30 Days (%),63.4,75.0
2024-07,Community Services North,Hand Hygiene Compliance (%),85.64,80.0
2024-07,Community Services North,Falls per 1000 Bed Days,3.22,5.0
2024-07,Community Services North,Medication Errors per 1000 Admissions,2.31,2.5
2024-07,Community Services North,Pressure Injuries per 1000 Bed Days,3.04,1.5
2024-07,Community Services North,Patient Experience Score (%),82.0,85.0
2024-07,Community Services North,HAI Rate per 1000 Bed Days,1.04,1.5
2024-07,Community Services North,Complaint Resolution within 20 Days (%),68.29,80.0
2024-07,Community Services North,Adverse Event Closure within 30 Days (%),63.84,75.0
2024-07,Community Services West,Hand Hygiene Compliance (%),85.59,80.0
2024-07,Community Services West,Falls per 1000 Bed Days,4.12,5.0
2024-07,Community Services West,Medication Errors per 1000 Admissions,1.52,2.5
2024-07,Community Services West,Pressure Injuries per 1000 Bed Days,3.09,1.5
2024-07,Community Services West,Patient Experience Score (%),80.42,85.0
2024-07,Community Services West,HAI Rate per 1000 Bed Days,0.31,1.5
2024-07,Community Services West,Complaint Resolution within 20 Days (%),58.44,80.0
2024-07,Community Services West,Adverse Event Closure within 30 Days (%),63.84,75.0
2024-08,North Shore Hospital,Hand Hygiene Compliance (%),87.92,80.0
2024-08,North Shore Hospital,Falls per 1000 Bed Days,4.62,5.0
2024-08,North Shore Hospital,Medication Errors per 1000 Admissions,2.78,2.5
2024-08,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.83,1.5
2024-08,North Shore Hospital,Patient Experience Score (%),80.74,85.0
2024-08,North Shore Hospital,HAI Rate per 1000 Bed Days,1.23,1.5
2024-08,North Shore Hospital,Complaint Resolution within 20 Days (%),59.68,80.0
2024-08,North Shore Hospital,Adverse Event Closure within 30 Days (%),66.99,75.0
2024-08,Waitakere Hospital,Hand Hygiene Compliance (%),84.34,80.0
2024-08,Waitakere Hospital,Falls per 1000 Bed Days,4.85,5.0
2024-08,Waitakere Hospital,Medication Errors per 1000 Admissions,3.16,2.5
2024-08,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,2.42,1.5
2024-08,Waitakere Hospital,Patient Experience Score (%),78.56,85.0
2024-08,Waitakere Hospital,HAI Rate per 1000 Bed Days,1.43,1.5
2024-08,Waitakere Hospital,Complaint Resolution within 20 Days (%),74.05,80.0
2024-08,Waitakere Hospital,Adverse Event Closure within 30 Days (%),54.72,75.0
2024-08,Community Services North,Hand Hygiene Compliance (%),84.21,80.0
2024-08,Community Services North,Falls per 1000 Bed Days,3.57,5.0
2024-08,Community Services North,Medication Errors per 1000 Admissions,3.53,2.5
2024-08,Community Services North,Pressure Injuries per 1000 Bed Days,3.04,1.5
2024-08,Community Services North,Patient Experience Score (%),76.7,85.0
2024-08,Community Services North,HAI Rate per 1000 Bed Days,0.3,1.5
2024-08,Community Services North,Complaint Resolution within 20 Days (%),62.54,80.0
2024-08,Community Services North,Adverse Event Closure within 30 Days (%),64.66,75.0
2024-08,Community Services West,Hand Hygiene Compliance (%),83.0,80.0
2024-08,Community Services West,Falls per 1000 Bed Days,4.64,5.0
2024-08,Community Services West,Medication Errors per 1000 Admissions,0.71,2.5
2024-08,Community Services West,Pressure Injuries per 1000 Bed Days,3.38,1.5
2024-08,Community Services West,Patient Experience Score (%),83.61,85.0
2024-08,Community Services West,HAI Rate per 1000 Bed Days,2.45,1.5
2024-08,Community Services West,Complaint Resolution within 20 Days (%),57.93,80.0
2024-08,Community Services West,Adverse Event Closure within 30 Days (%),52.66,75.0
2024-09,North Shore Hospital,Hand Hygiene Compliance (%),86.79,80.0
2024-09,North Shore Hospital,Falls per 1000 Bed Days,5.46,5.0
2024-09,North Shore Hospital,Medication Errors per 1000 Admissions,2.83,2.5
2024-09,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.89,1.5
2024-09,North Shore Hospital,Patient Experience Score (%),87.28,85.0
2024-09,North Shore Hospital,HAI Rate per 1000 Bed Days,1.54,1.5
2024-09,North Shore Hospital,Complaint Resolution within 20 Days (%),64.64,80.0
2024-09,North Shore Hospital,Adverse Event Closure within 30 Days (%),65.94,75.0
2024-09,Waitakere Hospital,Hand Hygiene Compliance (%),87.72,80.0
2024-09,Waitakere Hospital,Falls per 1000 Bed Days,6.08,5.0
2024-09,Waitakere Hospital,Medication Errors per 1000 Admissions,1.9,2.5
2024-09,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,2.29,1.5
2024-09,Waitakere Hospital,Patient Experience Score (%),78.5,85.0
2024-09,Waitakere Hospital,HAI Rate per 1000 Bed Days,1.51,1.5
2024-09,Waitakere Hospital,Complaint Resolution within 20 Days (%),73.29,80.0
2024-09,Waitakere Hospital,Adverse Event Closure within 30 Days (%),70.96,75.0
2024-09,Community Services North,Hand Hygiene Compliance (%),90.5,80.0
2024-09,Community Services North,Falls per 1000 Bed Days,6.66,5.0
2024-09,Community Services North,Medication Errors per 1000 Admissions,3.95,2.5
2024-09,Community Services North,Pressure Injuries per 1000 Bed Days,2.55,1.5
2024-09,Community Services North,Patient Experience Score (%),72.79,85.0
2024-09,Community Services North,HAI Rate per 1000 Bed Days,3.43,1.5
2024-09,Community Services North,Complaint Resolution within 20 Days (%),68.01,80.0
2024-09,Community Services North,Adverse Event Closure within 30 Days (%),67.92,75.0
2024-09,Community Services West,Hand Hygiene Compliance (%),85.51,80.0
2024-09,Community Services West,Falls per 1000 Bed Days,6.16,5.0
2024-09,Community Services West,Medication Errors per 1000 Admissions,1.47,2.5
2024-09,Community Services West,Pressure Injuries per 1000 Bed Days,0.36,1.5
2024-09,Community Services West,Patient Experience Score (%),77.65,85.0
2024-09,Community Services West,HAI Rate per 1000 Bed Days,0.11,1.5
2024-09,Community Services West,Complaint Resolution within 20 Days (%),80.17,80.0
2024-09,Community Services West,Adverse Event Closure within 30 Days (%),67.9,75.0
2024-10,North Shore Hospital,Hand Hygiene Compliance (%),85.45,80.0
2024-10,North Shore Hospital,Falls per 1000 Bed Days,5.09,5.0
2024-10,North Shore Hospital,Medication Errors per 1000 Admissions,3.34,2.5
2024-10,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.65,1.5
2024-10,North Shore Hospital,Patient Experience Score (%),74.33,85.0
2024-10,North Shore Hospital,HAI Rate per 1000 Bed Days,1.87,1.5
2024-10,North Shore Hospital,Complaint Resolution within 20 Days (%),65.26,80.0
2024-10,North Shore Hospital,Adverse Event Closure within 30 Days (%),60.34,75.0
2024-10,Waitakere Hospital,Hand Hygiene Compliance (%),86.19,80.0
2024-10,Waitakere Hospital,Falls per 1000 Bed Days,4.62,5.0
2024-10,Waitakere Hospital,Medication Errors per 1000 Admissions,2.33,2.5
2024-10,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,1.96,1.5
2024-10,Waitakere Hospital,Patient Experience Score (%),80.74,85.0
2024-10,Waitakere Hospital,HAI Rate per 1000 Bed Days,1.19,1.5
2024-10,Waitakere Hospital,Complaint Resolution within 20 Days (%),63.81,80.0
2024-10,Waitakere Hospital,Adverse Event Closure within 30 Days (%),62.52,75.0
2024-10,Community Services North,Hand Hygiene Compliance (%),87.15,80.0
2024-10,Community Services North,Falls per 1000 Bed Days,3.6,5.0
2024-10,Community Services North,Medication Errors per 1000 Admissions,3.06,2.5
2024-10,Community Services North,Pressure Injuries per 1000 Bed Days,2.48,1.5
2024-10,Community Services North,Patient Experience Score (%),80.18,85.0
2024-10,Community Services North,HAI Rate per 1000 Bed Days,1.0,1.5
2024-10,Community Services North,Complaint Resolution within 20 Days (%),63.69,80.0
2024-10,Community Services North,Adverse Event Closure within 30 Days (%),62.25,75.0
2024-10,Community Services West,Hand Hygiene Compliance (%),85.92,80.0
2024-10,Community Services West,Falls per 1000 Bed Days,3.6,5.0
2024-10,Community Services West,Medication Errors per 1000 Admissions,4.93,2.5
2024-10,Community Services West,Pressure Injuries per 1000 Bed Days,3.03,1.5
2024-10,Community Services West,Patient Experience Score (%),84.87,85.0
2024-10,Community Services West,HAI Rate per 1000 Bed Days,0.49,1.5
2024-10,Community Services West,Complaint Resolution within 20 Days (%),78.91,80.0
2024-10,Community Services West,Adverse Event Closure within 30 Days (%),59.62,75.0
2024-11,North Shore Hospital,Hand Hygiene Compliance (%),84.25,80.0
2024-11,North Shore Hospital,Falls per 1000 Bed Days,5.27,5.0
2024-11,North Shore Hospital,Medication Errors per 1000 Admissions,3.12,2.5
2024-11,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.53,1.5
2024-11,North Shore Hospital,Patient Experience Score (%),83.38,85.0
2024-11,North Shore Hospital,HAI Rate per 1000 Bed Days,2.39,1.5
2024-11,North Shore Hospital,Complaint Resolution within 20 Days (%),71.22,80.0
2024-11,North Shore Hospital,Adverse Event Closure within 30 Days (%),57.55,75.0
2024-11,Waitakere Hospital,Hand Hygiene Compliance (%),83.5,80.0
2024-11,Waitakere Hospital,Falls per 1000 Bed Days,4.17,5.0
2024-11,Waitakere Hospital,Medication Errors per 1000 Admissions,1.95,2.5
2024-11,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,2.09,1.5
2024-11,Waitakere Hospital,Patient Experience Score (%),77.96,85.0
2024-11,Waitakere Hospital,HAI Rate per 1000 Bed Days,2.28,1.5
2024-11,Waitakere Hospital,Complaint Resolution within 20 Days (%),70.22,80.0
2024-11,Waitakere Hospital,Adverse Event Closure within 30 Days (%),54.88,75.0
2024-11,Community Services North,Hand Hygiene Compliance (%),83.21,80.0
2024-11,Community Services North,Falls per 1000 Bed Days,4.14,5.0
2024-11,Community Services North,Medication Errors per 1000 Admissions,3.62,2.5
2024-11,Community Services North,Pressure Injuries per 1000 Bed Days,0.64,1.5
2024-11,Community Services North,Patient Experience Score (%),77.35,85.0
2024-11,Community Services North,HAI Rate per 1000 Bed Days,1.99,1.5
2024-11,Community Services North,Complaint Resolution within 20 Days (%),68.05,80.0
2024-11,Community Services North,Adverse Event Closure within 30 Days (%),72.8,75.0
2024-11,Community Services West,Hand Hygiene Compliance (%),88.53,80.0
2024-11,Community Services West,Falls per 1000 Bed Days,6.41,5.0
2024-11,Community Services West,Medication Errors per 1000 Admissions,3.98,2.5
2024-11,Community Services West,Pressure Injuries per 1000 Bed Days,3.28,1.5
2024-11,Community Services West,Patient Experience Score (%),80.11,85.0
2024-11,Community Services West,HAI Rate per 1000 Bed Days,3.81,1.5
2024-11,Community Services West,Complaint Resolution within 20 Days (%),68.76,80.0
2024-11,Community Services West,Adverse Event Closure within 30 Days (%),69.61,75.0
2024-12,North Shore Hospital,Hand Hygiene Compliance (%),84.38,80.0
2024-12,North Shore Hospital,Falls per 1000 Bed Days,5.2,5.0
2024-12,North Shore Hospital,Medication Errors per 1000 Admissions,2.64,2.5
2024-12,North Shore Hospital,Pressure Injuries per 1000 Bed Days,0.98,1.5
2024-12,North Shore Hospital,Patient Experience Score (%),72.55,85.0
2024-12,North Shore Hospital,HAI Rate per 1000 Bed Days,1.56,1.5
2024-12,North Shore Hospital,Complaint Resolution within 20 Days (%),68.4,80.0
2024-12,North Shore Hospital,Adverse Event Closure within 30 Days (%),65.19,75.0
2024-12,Waitakere Hospital,Hand Hygiene Compliance (%),87.81,80.0
2024-12,Waitakere Hospital,Falls per 1000 Bed Days,5.43,5.0
2024-12,Waitakere Hospital,Medication Errors per 1000 Admissions,2.04,2.5
2024-12,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,1.03,1.5
2024-12,Waitakere Hospital,Patient Experience Score (%),93.07,85.0
2024-12,Waitakere Hospital,HAI Rate per 1000 Bed Days,1.29,1.5
2024-12,Waitakere Hospital,Complaint Resolution within 20 Days (%),68.04,80.0
2024-12,Waitakere Hospital,Adverse Event Closure within 30 Days (%),62.37,75.0
2024-12,Community Services North,Hand Hygiene Compliance (%),87.94,80.0
2024-12,Community Services North,Falls per 1000 Bed Days,4.35,5.0
2024-12,Community Services North,Medication Errors per 1000 Admissions,1.53,2.5
2024-12,Community Services North,Pressure Injuries per 1000 Bed Days,2.58,1.5
2024-12,Community Services North,Patient Experience Score (%),82.01,85.0
2024-12,Community Services North,HAI Rate per 1000 Bed Days,1.15,1.5
2024-12,Community Services North,Complaint Resolution within 20 Days (%),71.23,80.0
2024-12,Community Services North,Adverse Event Closure within 30 Days (%),67.11,75.0
2024-12,Community Services West,Hand Hygiene Compliance (%),79.55,80.0
2024-12,Community Services West,Falls per 1000 Bed Days,6.34,5.0
